name,gender,birthyear,n_raters,occupation,industry,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10,likability,pred_likability
Barack Obama,Male,1961,29,POLITICIAN,GOVERNMENT,5.758620689655173,3.3448275862068964,6.137931034482759,2.310344827586207,5.413793103448276,3.103448275862069,5.448275862068965,1.793103448275862,6,3.1379310344827585,45.86206896551724,21.19511043549629
Kim Kardashian,Female,1980,32,CELEBRITY,MEDIA PERSONALITY,6.09375,4.96875,3.96875,4.71875,5.03125,1.8125,3.15625,3.78125,3.3125,3.3125,-23.96875,-10.325456552911692
Mark Zuckerberg,Male,1984,27,BUSINESSPERSON,BUSINESS,2.814814814814815,5.37037037037037,5.037037037037037,3.814814814814815,4.148148148148148,5.407407407407407,2.111111111111111,2.4444444444444446,4.518518518518518,3.4814814814814814,-37.07407407407408,19.80100025538407
Cristiano Ronaldo,Male,1985,11,SOCCER PLAYER,TEAM SPORTS,6.090909090909091,4,6.090909090909091,3.363636363636364,5,3.272727272727273,4.909090909090909,2.5454545454545454,4.727272727272728,3.090909090909091,64.0909090909091,37.483867311230746
John F. Kennedy,Male,1917,33,POLITICIAN,GOVERNMENT,5.696969696969697,3.363636363636364,5.727272727272728,2.333333333333333,5.454545454545454,3.393939393939394,5.454545454545454,2.4242424242424243,5.2727272727272725,2.787878787878788,59.87878787878788,16.459148433742467
Nelson Mandela,Male,1918,24,SOCIAL ACTIVIST,ACTIVISM,4.75,3.1666666666666665,6.333333333333333,2,5.583333333333333,3.75,6.083333333333333,1.625,5.875,2.458333333333333,74.33333333333333,52.93271874299408
Michael Jordan,Male,1963,38,BASKETBALL PLAYER,TEAM SPORTS,5.578947368421052,3.8947368421052633,6.421052631578948,2.8421052631578947,5,3.3684210526315788,4.394736842105263,2.0789473684210527,5.105263157894737,2.921052631578948,50.39473684210526,47.54568623541253
Lionel Messi,Male,1987,10,SOCCER PLAYER,TEAM SPORTS,5.3,3.8,5.9,2.1,4.9,3.8,5.1,2,4.6,3.1,60.7,49.15898229656237
Bill Gates,Male,1955,34,BUSINESSPERSON,BUSINESS,4.0588235294117645,3.7058823529411766,6.235294117647059,2.8823529411764706,5.323529411764706,4.676470588235294,4.088235294117647,1.7058823529411764,5.411764705882353,2.117647058823529,24,0.115364257032315
George Bush,Male,1946,32,POLITICIAN,GOVERNMENT,4.15625,4.78125,4.09375,3.40625,3.5625,4.0625,3.6875,4.0625,4.28125,4.875,-19.25,-10.051072710057426
John Cena,Male,1977,30,WRESTLER,INDIVIDUAL SPORTS,6.4,3,6.2,2.6333333333333333,5.7,2.066666666666667,5.1,2.066666666666667,4.8,2.833333333333333,51.1,50.63138594249685
Elizabeth II of the United Kingdom,Female,1926,18,NOBLEMAN,GOVERNMENT,3.5,3.611111111111111,5.5,2.888888888888889,3.555555555555556,5.444444444444445,4.277777777777778,1.6111111111111112,5.333333333333333,4.944444444444445,23.166666666666668,56.27067014302086
Stephen Hawking,Male,1942,34,PHYSICIST,NATURAL SCIENCES,3.794117647058824,3.764705882352941,6.235294117647059,2.823529411764706,5.764705882352941,4.735294117647059,4.647058823529412,1.6764705882352942,5.676470588235294,2.088235294117647,65.1470588235294,49.9578806231073
Osama bin Laden,Male,1957,43,EXTREMIST,OUTLAWS,3.372093023255814,6.488372093023256,3.976744186046512,5,3.0930232558139537,3.069767441860465,1.372093023255814,3.488372093023256,2.069767441860465,3.2093023255813957,-92.69767441860463,-50.57881841251913
Sarah Palin,Female,1964,37,POLITICIAN,GOVERNMENT,5.72972972972973,5.162162162162162,4.108108108108108,4.135135135135135,3.675675675675676,2.189189189189189,3.5405405405405403,3.756756756756757,3.783783783783784,4.243243243243243,-21.56756756756757,6.206530457378211
Muhammad Ali,Male,1942,29,BOXER,INDIVIDUAL SPORTS,5.965517241379311,4.103448275862069,6.482758620689655,2.689655172413793,5.517241379310345,2.793103448275862,5.0344827586206895,2.068965517241379,4.896551724137931,2.3448275862068964,61.310344827586206,62.592096659360074
Ronald Reagan,Male,1911,22,POLITICIAN,GOVERNMENT,4.954545454545454,4.909090909090909,5.590909090909091,3.363636363636364,3.727272727272727,3.272727272727273,3.3181818181818183,2.5,4.318181818181818,4.5,-19.045454545454547,14.532219194274488
Charles Manson,Male,1934,32,EXTREMIST,OUTLAWS,5.3125,6.125,2.96875,5.53125,4.46875,2.0625,1.59375,4.625,1.53125,2.46875,-80.8125,-82.26208719540482
Kobe Bryant,Male,1978,23,BASKETBALL PLAYER,TEAM SPORTS,5.826086956521739,3.0869565217391304,6.130434782608695,3.0434782608695654,6,3.0434782608695654,5.043478260869565,2.4347826086956523,5.3478260869565215,3.217391304347826,56.21739130434783,27.352549582094852
LeBron James,Male,1984,29,BASKETBALL PLAYER,TEAM SPORTS,5.448275862068965,4.206896551724138,5.827586206896552,3.3793103448275863,4.793103448275862,2.6206896551724137,4.275862068965517,2.4482758620689653,4.724137931034483,3.1379310344827585,26.655172413793103,33.573065280865336
